id,name,tax_no,start_date,end_date,created_by,updated_by
38,Polygalaceae,wmpyhgfajierdzvxtsu,03/04/2022,05/04/2022,656,556
39,Teloschistaceae,vejiruwoxmtfknbds,30/09/2021,01/02/2022,73,696
40,Rutaceae,pxztfqmvhlrycjbiw,05/06/2022,14/09/2021,223,90
41,Arecaceae,ainypghcxk,31/07/2021,03/03/2022,564,775
42,Fabaceae,tnzbadmfjskpqe,15/12/2021,20/03/2022,660,452
43,Teloschistaceae,pkxwlqvnfrcj,18/12/2021,10/11/2021,630,275
44,Hymeneliaceae,fsoebdkhlvjmyucrpngw,02/07/2021,24/03/2022,533,43
45,Thuidiaceae,jcxrzvtladkhybs,26/02/2022,09/11/2021,249,956
46,Papaveraceae,wyemzvhfdk,23/09/2021,30/08/2021,540,816
47,Lamiaceae,rhewxufzjk,16/05/2022,21/01/2022,66,610
48,Eriocaulaceae,viabwdmxcejorlhtuf,10/03/2022,21/12/2021,463,616
49,Fagaceae,gnalmrvebcdxpujwi,04/07/2021,06/08/2021,591,241
50,Loasaceae,gbqfwijopy,14/04/2022,09/11/2021,289,172
51,Fabroniaceae,pkhsnxlrwzuvdbqog,16/05/2022,28/11/2021,40,916
52,Arecaceae,ijbzledkxmrysvgc,14/05/2022,10/12/2021,72,458
53,Brassicaceae,bpaghodjunsykvz,01/12/2021,09/01/2022,216,526
54,Asteraceae,fqadcmshgrxlpnyvo,12/06/2021,09/05/2022,923,811
55,Cactaceae,rgvbltyknspa,01/06/2022,10/07/2021,975,327
56,Cistaceae,cfomkhsdrwpt,29/12/2021,10/05/2022,541,343
57,Poaceae,pjmcrxahst,04/06/2022,14/09/2021,324,204
58,Campanulaceae,vabsqlyhunftc,06/12/2021,03/04/2022,534,649
59,Rhamnaceae,cupbszqfeimw,20/04/2022,07/12/2021,333,596
60,Fabaceae,jotgrzfiak,13/11/2021,17/10/2021,390,512
61,Asteraceae,xbmalqevuzpgfywc,01/01/2022,22/09/2021,496,349
62,Rubiaceae,ovhnwmaxlsg,16/01/2022,02/08/2021,833,865
63,Apiaceae,lnhuijtxwk,23/10/2021,08/08/2021,822,410
64,Apiaceae,atrxbsuzyjievgwmlpn,02/08/2021,03/10/2021,191,450
65,Fabaceae,fdvtmwoaiygszxqcklrb,21/04/2022,08/11/2021,159,993
66,Fabaceae,feswjqkpgiyvhtu,26/07/2021,08/11/2021,579,389
67,Poaceae,fouzctnsjx,22/08/2021,19/01/2022,14,157
68,Sphagnaceae,cuswmtgbedz,03/09/2021,17/10/2021,997,11
69,Asteraceae,csgrhaxvweiybdpnu,28/03/2022,01/09/2021,253,126
70,Asteraceae,oklhndqtufjbyxpar,03/02/2022,27/10/2021,881,652
71,Poaceae,gopixmvednfqykzrws,15/01/2022,12/08/2021,359,627
72,Myrtaceae,lapfnqujoixcd,13/08/2021,26/11/2021,326,124
73,Asteraceae,vpleytkrwsjzoa,21/10/2021,30/12/2021,685,107
74,Brassicaceae,twfermgqcu,03/09/2021,04/10/2021,197,615
75,Goodeniaceae,gunbiwcqxzkrhvlma,20/06/2021,23/10/2021,185,208
76,Lecanoraceae,vxiaqzojdltk,24/04/2022,23/09/2021,134,447
77,Parmeliaceae,cksvfrazoqldy,18/05/2022,06/01/2022,734,527
78,Brachytheciaceae,kftwbjnspg,05/01/2022,13/09/2021,615,688
79,Pterobryaceae,zelnpvudkqmjhcfxias,16/12/2021,02/10/2021,508,104
80,Heliconiaceae,jazrexdslbw,29/10/2021,15/04/2022,258,700
81,Saxifragaceae,gbizawqxdt,07/08/2021,07/04/2022,212,82
82,Ericaceae,vqylfodrbmtensxzj,22/07/2021,14/08/2021,90,674
83,Hymenophyllaceae,tazkjelyhmuwivgqnoxb,17/10/2021,14/06/2021,525,326
84,Ranunculaceae,yvwknmagpo,22/06/2021,16/07/2021,178,185
85,Boraginaceae,siqohdagprfcwe,14/11/2021,06/07/2021,864,385
86,Ranunculaceae,ztyndekburlqsv,16/04/2022,17/01/2022,941,815
87,Ranunculaceae,rjbvdlqsnzaxowyt,21/06/2021,02/11/2021,679,535
88,Malvaceae,dyivmztsjon,26/07/2021,23/03/2022,623,217
89,Rosaceae,wlubikymocseqjapxdf,02/08/2021,21/12/2021,798,2
90,Lamiaceae,tkxljzrgdnw,25/06/2021,08/02/2022,978,983
91,Gnetaceae,sbfjwezmnqkyagiptho,08/09/2021,30/08/2021,110,303
92,Cyperaceae,mubedhkoliq,08/06/2022,01/04/2022,181,830
93,Polygonaceae,vmhfsiralgzetw,07/09/2021,03/03/2022,696,519
94,Apiaceae,rclnqmzpba,11/02/2022,12/09/2021,339,281
95,Amblystegiaceae,hlwyvmpxsudrb,22/11/2021,02/05/2022,526,211
96,Asteraceae,criobgevkuqmslz,02/07/2021,31/03/2022,33,630
97,Fabaceae,fmilxqewbozjy,06/10/2021,06/05/2022,165,991
98,Apocynaceae,rbqgkzduaxomlps,07/03/2022,20/06/2021,95,872
99,Cactaceae,iuvmelyxgd,12/10/2021,23/07/2021,751,686
100,Arthoniaceae,harsgoidqemtxcwpnjbu,09/12/2021,25/05/2022,293,75
101,Asteraceae,tenugxdrokvmp,15/04/2022,11/04/2022,413,560
102,Lamiaceae,evspdkogizcbq,23/10/2021,02/07/2021,721,480
103,Poaceae,zxmgvpdftklceyr,18/03/2022,07/05/2022,892,787
104,Scrophulariaceae,vnmtlrzdai,17/08/2021,23/04/2022,677,420
105,Saxifragaceae,uledxqwpbtzsnfajrh,20/09/2021,24/08/2021,362,986
106,Boraginaceae,jsrbdnoiqyvgpch,04/05/2022,03/11/2021,234,684
107,Betulaceae,sferhtcdkmoqlavxy,27/02/2022,10/02/2022,554,387
108,Chenopodiaceae,tjrvdoimyqlhnzwc,10/05/2022,02/05/2022,313,435
109,Brassicaceae,rbgemvkipjaxolz,20/04/2022,09/12/2021,739,391
110,Asteraceae,pxfvidnaqmcktsrgybe,15/04/2022,09/06/2022,305,16
111,Ranunculaceae,zwbxuqhnaikmplvoyegc,15/09/2021,24/11/2021,961,259
112,Brassicaceae,szhjxkocpt,13/06/2021,26/08/2021,76,499
113,Caryophyllaceae,evtsoqumynwkj,03/07/2021,23/10/2021,59,186
114,Verrucariaceae,bygekahtqczdimln,04/05/2022,16/07/2021,671,987
115,Asteraceae,qekomfusviajg,29/12/2021,12/10/2021,597,837
116,Caprifoliaceae,rtzvcyiwjkpxsebqmuao,11/09/2021,21/07/2021,5,52
117,Betulaceae,rmcyodzpjlsuhbkg,07/02/2022,11/06/2022,884,580
118,Euphorbiaceae,rvpbdtisezfjkqwmho,03/01/2022,29/04/2022,409,551
119,Dryopteridaceae,ungcbhvetdmo,08/09/2021,03/07/2021,866,297
120,Grossulariaceae,mbqxvjksnfdyg,25/08/2021,26/03/2022,565,831
121,Stereocaulaceae,ytmuxabshrodzievlpj,16/10/2021,04/09/2021,691,502
122,Portulacaceae,awzymndpjgfxchoiutl,06/08/2021,31/12/2021,871,39
123,Solanaceae,fmpswybhcratgjeiondu,27/06/2021,16/03/2022,372,26
124,Scrophulariaceae,djsieklxngcvobm,21/12/2021,28/08/2021,598,929
125,Aceraceae,wpiqghtrbe,22/05/2022,18/10/2021,499,894
126,Fabaceae,ofwcseivhtjpbkxgz,08/10/2021,01/11/2021,183,254
127,Hymenophyllaceae,pkacixgdsjvblyfro,03/04/2022,16/01/2022,363,875
128,Cuscutaceae,ufanjdbxmpsyltgqh,28/09/2021,16/08/2021,389,795
129,Asteraceae,rufqpcbtvxomlziegd,31/08/2021,15/04/2022,439,730
130,Fabaceae,lrqjetvuzpidbsmco,11/10/2021,22/03/2022,607,96
131,Rosaceae,dbvxfqguslpah,04/06/2022,04/12/2021,511,506
132,Fabaceae,nrumqigyevhjpbofxc,20/11/2021,21/04/2022,360,114
133,Graphidaceae,twkiermvcgdfsxqjnop,10/08/2021,27/12/2021,474,413
134,Linaceae,gzxwjltmhyirdquec,09/03/2022,02/08/2021,959,660
135,Asteraceae,nxtpbczldfjmihv,04/12/2021,24/09/2021,729,258
136,Dryopteridaceae,nxlfkepzjatshdcrbu,03/01/2022,11/03/2022,748,628
137,Asteraceae,drvwsngaqyhtfolij,04/04/2022,14/03/2022,545,850
138,Rubiaceae,jngteikldxvmq,27/04/2022,29/09/2021,896,855
139,Poaceae,zkijypfobthlasgdxv,07/11/2021,01/08/2021,425,541
140,Bacidiaceae,hseuvidbwkglztaxrf,01/11/2021,23/06/2021,174,577
141,Ulmaceae,kwfxchoadys,09/10/2021,11/05/2022,979,802
142,Rosaceae,iukswlvdft,14/12/2021,04/01/2022,298,176
143,Grossulariaceae,puvslayfjgxtrbz,14/04/2022,26/04/2022,653,591
144,Scrophulariaceae,ecnivqdfwkspx,18/12/2021,27/09/2021,964,418
145,Brassicaceae,yxgbkawhidmspuovtlnc,21/08/2021,24/12/2021,633,926
146,Asteraceae,rnityuaecxqpsfh,12/05/2022,15/02/2022,722,750
147,Brassicaceae,smjcikfzuptge,14/10/2021,15/04/2022,732,818
148,Portulacaceae,jnbulscqphy,22/12/2021,01/07/2021,659,129
149,Fabaceae,ufetxzilbjcpmws,10/09/2021,07/09/2021,773,374
150,Amblystegiaceae,wuenkmbjsailydfh,28/07/2021,31/03/2022,772,814
151,Apiaceae,gieuofbavtynwh,27/07/2021,03/04/2022,29,340
152,Liliaceae,nevxmgtqfcjoslyprz,05/11/2021,09/08/2021,381,133
153,Bacidiaceae,npemksilfyqhr,17/08/2021,07/05/2022,42,931
154,Brassicaceae,bucmkojsdxnywpltargi,17/10/2021,21/09/2021,717,921
155,Brassicaceae,erkdavtfxhbpcnz,29/01/2022,19/03/2022,986,311
156,Asteraceae,vpaxirwnzsuktcbohgmq,14/11/2021,18/08/2021,173,142
157,Cyatheaceae,sainkzcfehoptdl,06/08/2021,28/12/2021,601,463
158,Apiaceae,zxldohfwuymkerpagt,11/11/2021,12/05/2022,408,683
159,Saururaceae,kgtuedlzsbvm,31/07/2021,09/03/2022,951,578
160,Caryophyllaceae,sdzracknfwixlumbgyo,12/01/2022,06/03/2022,318,655
161,Crassulaceae,djuortxahczmesvyg,14/10/2021,03/03/2022,455,97
162,Bacidiaceae,vwzmhjlyoifunedra,22/05/2022,21/01/2022,468,485
163,Hamamelidaceae,xtugyjwfdmnh,03/04/2022,29/09/2021,303,277
164,Rosaceae,fsxjvhrugmzploat,04/01/2022,31/08/2021,522,997
165,Lamiaceae,eczysjrvamg,06/04/2022,23/05/2022,241,25
166,Poaceae,btgwocjylaezdxnk,01/12/2021,27/11/2021,767,9
167,Fabaceae,rpgciaynjmk,22/06/2021,27/01/2022,906,905
168,Cyperaceae,pfolwkutdeiygjsbxvh,11/12/2021,09/12/2021,759,857
169,Ranunculaceae,rdymcbavolu,16/11/2021,30/04/2022,203,74
170,Brassicaceae,haxcltksjvuyfrdepg,23/01/2022,21/07/2021,399,603
171,Poaceae,ycuxzwksgvtjlhrqfapd,19/12/2021,05/06/2022,762,626
172,Apiaceae,hapmoztxkge,26/05/2022,07/07/2021,10,825
173,Fabaceae,vxaupkconhwt,16/06/2021,03/08/2021,4,524
174,Salicaceae,rnjctuwxmafvdhp,12/06/2021,25/04/2022,124,361
175,Caprifoliaceae,gplnzxbaromjqvedh,05/02/2022,02/12/2021,836,17
176,Araceae,sbnoagqzdx,16/09/2021,04/04/2022,604,285
177,Urticaceae,expcmbuvyirtk,01/11/2021,27/10/2021,385,646
178,Fabaceae,xhontrekscmp,10/04/2022,19/06/2021,670,36
179,Poaceae,maxhqbospzwjfgeund,19/02/2022,29/04/2022,196,49
180,Rosaceae,fiehyqadvtr,25/05/2022,25/01/2022,963,474
181,Rosaceae,aphcjnetlsx,30/09/2021,07/06/2022,512,936
182,Campanulaceae,dxrwpycnlmebag,07/07/2021,04/06/2022,814,406
183,Hymeneliaceae,prysxcahmeikub,13/11/2021,24/06/2021,3,637
184,Fabaceae,leiymdgsnvojcqhb,08/01/2022,24/07/2021,161,332
185,Physciaceae,jqylhnafuwopbckszim,03/06/2022,17/11/2021,513,316
186,Verbenaceae,rtydkxlmjnhgpuvac,06/06/2022,01/11/2021,524,141
187,Fabaceae,hdmaocqvtwbnu,27/04/2022,27/04/2022,877,813
188,Fabaceae,qijxdufkmocvyh,10/04/2022,16/03/2022,922,295
189,Asteraceae,kpdlvbcwfoy,04/04/2022,01/02/2022,338,24
190,Boraginaceae,hmgnsvrpwe,12/12/2021,25/03/2022,821,201
191,Polygonaceae,kcwszoedjibtl,04/09/2021,23/03/2022,510,58
192,Liliaceae,zrxklniwtgjvcqsd,16/06/2021,30/08/2021,430,742
193,Fabaceae,cosiqkrxzdtlm,24/08/2021,15/06/2021,742,910
194,Apocynaceae,ogskpfardiyvbeuwm,23/04/2022,24/03/2022,991,315
195,Celastraceae,xcdhzvtmgiquopnwak,09/08/2021,16/10/2021,435,619
196,Asteraceae,ikjzwdyrglcxhqf,02/11/2021,27/11/2021,179,966
197,Polygonaceae,vdsyuxeinfthz,17/07/2021,17/05/2022,829,191
198,Rutaceae,luwvoqepykctdjz,28/11/2021,02/01/2022,714,48
199,Apiaceae,nxfvzilwpckgqo,14/12/2021,20/06/2021,782,236
200,Asteraceae,hjeulftspgvqd,13/02/2022,25/06/2021,577,392
201,Verbenaceae,qjphwxsyobun,02/03/2022,12/06/2021,763,265
202,Lamiaceae,bnmluyqtvwfzasrhpcxg,15/05/2022,31/10/2021,612,798
203,Poaceae,noesuzitmk,19/11/2021,03/02/2022,650,754
204,Ericaceae,rvxwaoepjmzq,27/01/2022,12/12/2021,211,71
205,Rubiaceae,qnbeuxkfyramt,16/04/2022,02/01/2022,710,740
206,Brassicaceae,xubqvflshotgdcnam,01/06/2022,02/06/2022,459,832
207,Fabaceae,luepjirqsxwdzmb,21/08/2021,21/10/2021,438,365
208,Cucurbitaceae,nxlemyfaqhiukdjbro,04/04/2022,08/10/2021,738,234
209,Dryopteridaceae,avfhzmtrkncwdbyspuo,14/10/2021,13/03/2022,905,81
210,Betulaceae,vslxyfjizpr,23/03/2022,03/04/2022,405,111
211,Mniaceae,olvtniphsjembfwdgrzy,07/07/2021,10/02/2022,779,629
212,Salicaceae,fqmahztvkdrgxbluwi,25/09/2021,27/07/2021,938,770
213,Cannabaceae,dtzliefhvouw,16/02/2022,01/05/2022,847,405
214,Asteraceae,jqrxyvswznbhltm,18/06/2021,28/02/2022,872,783
215,Araucariaceae,ymbwziodhqptre,04/01/2022,10/05/2022,700,188
216,Rubiaceae,dbplycsvxfokzmag,02/06/2022,11/06/2022,909,192
217,Solanaceae,begrcnmxwpkqutizydhs,15/09/2021,11/12/2021,811,844
218,Rutaceae,gdhumbvjafikr,10/10/2021,28/03/2022,901,355
219,Lecanoraceae,zifrytkecbp,19/12/2021,06/05/2022,68,288
220,Liliaceae,vtyakcfouzjrmnxilb,04/09/2021,12/01/2022,919,549
221,Verrucariaceae,kzjyctlhusea,10/10/2021,14/06/2021,449,478
222,Asteraceae,vzkgtxydejbshfcwa,23/04/2022,10/09/2021,19,457
223,Tiliaceae,fgcmbjwuqo,10/03/2022,26/01/2022,995,518
224,Cupressaceae,axgopsutvmjzyecbdqi,13/02/2022,23/10/2021,208,407
225,Myrtaceae,tvjfdnhkpearmqbwyu,05/08/2021,02/01/2022,299,509
226,Pottiaceae,urvnxefwzd,28/04/2022,02/10/2021,307,990
227,Dryopteridaceae,bltqicpdrnseuh,19/04/2022,13/08/2021,771,776
228,Asteraceae,zhvperbgcamkotxlu,06/03/2022,18/04/2022,741,383
229,Cactaceae,xlrnaibseyuf,08/11/2021,11/06/2022,170,847
230,Primulaceae,yqroiljdmuba,23/05/2022,27/03/2022,114,934
231,Pteridaceae,tmorfujlcipavdneqyk,14/02/2022,18/03/2022,856,842
232,Parmeliaceae,jkopszigetlv,16/04/2022,16/05/2022,775,969
233,Gentianaceae,marihcfzypvowbquekdl,03/12/2021,13/12/2021,706,760
234,Asteraceae,hkjsmqgyvtlw,02/05/2022,14/07/2021,153,165
235,Fagaceae,rbjgdqvulfs,25/11/2021,05/01/2022,300,34
236,Poaceae,jnxkcsaoeytipmhvrqw,07/04/2022,28/07/2021,323,749
237,Poaceae,ebqzkomdvyrlx,25/01/2022,31/10/2021,932,550
238,Asteraceae,qudakylfrgbcxenistw,07/05/2022,07/11/2021,244,156
239,Asteraceae,mftxsanlyve,31/03/2022,01/03/2022,888,515
240,Polemoniaceae,izwfauvsxecrmodkthgp,01/10/2021,09/09/2021,849,109
241,Polygonaceae,nwlsqaphfemzbjgcdry,18/10/2021,23/02/2022,984,167
242,Rosaceae,lhruocxjwdyfkeqtv,26/04/2022,14/07/2021,573,808
243,Myrtaceae,oijyzebuwlmcnrd,21/09/2021,10/05/2022,752,196
244,Brassicaceae,bpdnytfimzhswovrg,23/12/2021,24/08/2021,57,66
245,Liliaceae,ljgpmuterha,26/03/2022,01/08/2021,804,634
246,Asteraceae,vxcadefgihjqktyuznl,16/04/2022,01/08/2021,332,545
247,Loasaceae,eumsicgtxlrbwj,03/01/2022,26/06/2021,490,479
248,Pottiaceae,zbwdpleojrgyk,14/06/2021,18/05/2022,622,817
249,Selaginellaceae,thoeixscnmpqryjvb,16/05/2022,10/09/2021,147,219
250,Iridaceae,ngtrlxbcvdphwaykiqo,31/05/2022,14/11/2021,613,306
251,Scrophulariaceae,mzxyvrdbknujcot,06/07/2021,25/03/2022,945,103
252,Loasaceae,vfepchtjrxq,24/09/2021,16/08/2021,689,976
253,Gesneriaceae,adlyhnqircesom,20/03/2022,15/08/2021,501,290
254,Rosaceae,xcdpmjzroulnigaysw,23/11/2021,21/09/2021,224,978
255,Apiaceae,xoyjhqplernuda,06/10/2021,17/04/2022,637,918
256,Lycopodiaceae,ifcldqwuonet,26/04/2022,26/06/2021,250,859
257,Poaceae,bfhlompeaqx,13/12/2021,18/06/2021,639,175
258,Pteridaceae,iaxcsyrofwebqguk,03/12/2021,15/10/2021,862,174
259,Rosaceae,ebghpojkxsnctvdfzwrm,25/02/2022,27/11/2021,452,758
260,Orchidaceae,zcnjlgsaeidkuftv,13/09/2021,23/05/2022,860,823
261,Violaceae,mxwpkcujeyvgoair,28/05/2022,12/10/2021,578,70
262,Boraginaceae,apojishzgfwtyxrkqe,24/04/2022,20/12/2021,651,772
263,Scrophulariaceae,rqhvantzsoxjdpyc,14/05/2022,16/03/2022,627,307
264,Iridaceae,tgcomypwvrunh,02/04/2022,16/03/2022,485,860
265,Chenopodiaceae,fvrimhlzxuoqgy,17/04/2022,05/06/2022,119,423
266,Fabaceae,aiugljdqwmonkvpszfet,08/05/2022,07/10/2021,666,53
267,Lamiaceae,uowzakgbtmr,23/03/2022,22/12/2021,349,401
268,Fagaceae,yhgxtcumpeoknlibj,14/10/2021,12/12/2021,55,214
269,Chenopodiaceae,ieljtauygbkxvsd,25/10/2021,05/08/2021,155,244
270,Fabaceae,nygljdbicmehswqrotfz,28/11/2021,26/11/2021,239,945
271,Rosaceae,hbmzoqfdexpukwagty,04/06/2022,15/07/2021,21,120
272,Orchidaceae,chybkdgwvmlx,14/03/2022,18/03/2022,809,494
273,Scrophulariaceae,ukjazdmqcopx,22/03/2022,01/06/2022,974,54
274,Asteraceae,vmxinlkjeyw,14/07/2021,22/06/2021,388,866
275,Cactaceae,rgjptfvmbwcud,08/10/2021,12/05/2022,99,272
276,Geraniaceae,ecsfmpzuknb,28/11/2021,12/04/2022,218,695
277,Asteraceae,cmpyirluqkwdbofjzhv,20/08/2021,14/06/2021,990,243
278,Rosaceae,pnqmcevwbyza,16/05/2022,18/08/2021,225,166
279,Crassulaceae,rohetqxsgmazk,10/01/2022,12/11/2021,594,86
280,Asclepiadaceae,ziblxaykptecoqwsfvng,03/05/2022,20/07/2021,936,759
281,Asteraceae,dqiulzcsxokjyaprh,07/12/2021,02/06/2022,976,63
282,Rosaceae,etnbdkqalowu,04/07/2021,24/10/2021,483,726
283,Rosaceae,hcjmgvebdw,16/02/2022,23/10/2021,610,363
284,Onagraceae,fdzhpsmrkl,27/07/2021,30/06/2021,778,928
285,Caprifoliaceae,svzcbuejgfodph,13/11/2021,06/12/2021,581,134
286,Pteridaceae,enyplagothvmxsqzur,04/03/2022,15/04/2022,58,922
287,Myristicaceae,igncmaeoyxf,14/12/2021,21/06/2021,240,653
288,Lamiaceae,tzsfqowcmbexjhikv,12/09/2021,25/10/2021,917,745
289,Solanaceae,yitdjukpvzlcoq,08/06/2022,21/06/2021,51,346
290,Cyperaceae,lkqoitfvhxnswezadbc,13/05/2022,05/01/2022,312,595
291,Rubiaceae,btdjsrahywc,23/11/2021,23/08/2021,915,444
292,Euphorbiaceae,dxkychsprwnaigfuotl,24/08/2021,18/05/2022,967,280
293,Coniocybaceae,cajpifldvysq,05/07/2021,04/09/2021,198,443
294,Cyperaceae,qdlmivbysxkfrhupz,02/04/2022,26/10/2021,790,703
295,Asteraceae,swvuipxmbntr,13/02/2022,01/11/2021,395,93
296,Ericaceae,vrxnbztgmy,30/08/2021,02/05/2022,548,194
297,Rosaceae,zyigfanbcswrmvuhq,05/04/2022,12/12/2021,398,954
298,Aspleniaceae,ajolcgktrhifndvybmex,10/07/2021,19/09/2021,442,224
299,Poaceae,ukpnmtafghi,20/05/2022,27/04/2022,920,393
300,Agavaceae,gndphkvzlaxbj,30/09/2021,23/08/2021,764,685
301,Nyctaginaceae,xzmcbulrnjshiqapdfkg,15/11/2021,29/03/2022,98,78
302,Oleaceae,kwfozpjmdabscqe,10/01/2022,25/03/2022,194,570
303,Fabaceae,yheqpzuvwlnifbxsodgk,19/12/2021,21/03/2022,451,503
304,Fabaceae,kzpqdvxncryiowjh,18/09/2021,16/11/2021,590,161
305,Poaceae,kuiafypqoenhvbjxzms,14/03/2022,27/11/2021,537,650
306,Poaceae,otgkqcpzfidmlvas,07/06/2022,25/04/2022,419,469
307,Poaceae,gpbvstqiyhzo,22/06/2021,13/12/2021,567,532
308,Fabaceae,uvliwdpjkymn,20/06/2021,01/09/2021,515,852
309,Physciaceae,mnukohicgy,30/11/2021,23/01/2022,493,640
310,Poaceae,kzlxfvcryisuomahn,20/12/2021,07/10/2021,1000,767
311,Brassicaceae,ehfkjaizng,17/02/2022,13/03/2022,719,669
312,Poaceae,exuwhjyatmspd,31/05/2022,28/12/2021,672,681
313,Fabaceae,osxqkiheuyr,09/09/2021,20/03/2022,335,273
314,Grimmiaceae,fcdymzbqnsxwtguih,18/08/2021,15/09/2021,561,360
315,Fabaceae,gvrqjnaohetzlu,22/06/2021,06/05/2022,766,195
316,Gentianaceae,ubdfescgvqjhplzxkwy,02/07/2021,10/08/2021,532,235
317,Cyperaceae,shucyrtmpflvxg,23/05/2022,30/04/2022,229,697
318,Juncaceae,sxfqvywbcihguke,16/06/2021,10/09/2021,142,867
319,Fabaceae,zlvgjtidqyohuwmp,02/04/2022,30/07/2021,996,210
320,Apocynaceae,kibnvspqczfwhutroa,08/10/2021,21/02/2022,879,368
321,Cladoniaceae,xcduqkoytgnpe,22/06/2021,05/07/2021,913,102
322,Myrtaceae,vmxinldbjfchryae,18/07/2021,01/03/2022,284,932
323,Saxifragaceae,zdauywsfejhxb,22/01/2022,09/01/2022,13,446
324,Physciaceae,ivrmftxzslwhopky,10/10/2021,30/04/2022,123,47
325,Euphorbiaceae,avenckilszg,10/06/2022,17/03/2022,498,152
326,Loasaceae,fbposjwqyx,27/02/2022,15/06/2021,887,212
327,Asteraceae,okyuiszcngd,16/02/2022,02/07/2021,885,566
328,Poaceae,iucknpfgrqmbwlhjatxe,20/05/2022,26/02/2022,469,841
329,Fagaceae,uqtmxhzjykwrcbneod,29/05/2022,18/05/2022,552,794
330,Campanulaceae,dhvbezmxnispwtjfg,30/09/2021,15/10/2021,325,713
331,Asclepiadaceae,isvenkfdrcqpzolt,19/12/2021,09/07/2021,139,941
332,Acarosporaceae,qnoskuhgxfyt,13/11/2021,25/04/2022,105,242
333,Pteridaceae,tfrzwkaecgubjn,02/04/2022,30/04/2022,852,575
334,Poaceae,jeuxkzbyqonhatl,23/10/2021,31/08/2021,287,278
335,Juncaceae,ikgclaytmpbjd,27/10/2021,03/03/2022,219,342
336,Asteraceae,jvrikxmntcdfpqbs,27/06/2021,27/09/2021,861,781
337,Bacidiaceae,vyzqurcxwenk,15/06/2021,21/05/2022,375,470
338,Poaceae,iyfgapvnroq,31/08/2021,28/12/2021,789,664
339,Poaceae,ecvfrbqandm,06/04/2022,24/07/2021,642,220
340,Asteraceae,bkcqezitdfpgxaylrn,06/03/2022,06/10/2021,380,638
341,Liliaceae,uapxmvtjhrodyfslekgb,03/12/2021,06/09/2021,144,606
342,Orchidaceae,bmuwzksoxc,17/11/2021,28/04/2022,365,975
